"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
356111,"IN-0327","heliport","Rukling Heliport",31.6015,78.43633,8081,"AS","IN","IN-HP","Morang","no",,,,,,,
356112,"IN-0328","heliport","Pooh Heliport",31.75225,78.57191,8781,"AS","IN","IN-HP","Pooh","no",,,,,,,
356114,"IN-0329","heliport","Chango Heliport",31.96923,78.59328,10630,"AS","IN","IN-HP","Chango","no",,,,,,,
356115,"IN-0330","heliport","Kaurik Heliport",32.09448,78.67575,12231,"AS","IN","IN-HP","Spiti","no",,,,,,,
356116,"IN-0331","heliport","Khuldo Heliport",32.77295,78.98563,13980,"AS","IN","IN-LA","Khuldo","no",,,,,,,
356118,"IN-0332","heliport","Nako Heliport",31.8861,78.62787,11826,"AS","IN","IN-HP","Nako","no",,,,,,,
356120,"IN-0333","heliport","Judi Heliport",30.57862,78.45075,7232,"AS","IN","IN-UT","Mukhem Renge","no",,,,,,,
356128,"IN-0334","heliport","Jindal Heliport",20.96598,86.04235,207,"AS","IN","IN-OR","Gadapur","no",,,,,,,
356129,"IN-0335","heliport","Tata Steel Gadapur Heliport",20.96803,86.03998,201,"AS","IN","IN-OR","Gadapur","no",,,,,,,
356130,"IN-0336","heliport","Tata Steel Bamnipal Heliport",21.12438,85.92252,289,"AS","IN","IN-OR","Bamnipal","no",,,,,,,
356131,"IN-0337","heliport","Bamnipal Heliport",21.12157,85.92059,316,"AS","IN","IN-OR","Bamnipal","no",,,,,,,
356132,"IN-0338","small_airport","Birasal Airport",20.98366,85.681622,240,"AS","IN","IN-OR","Rahani","no",,,,,,,
356133,"IN-0339","heliport","NOCCi Business Park Heliport",21.49523,86.883522,62,"AS","IN","IN-OR","Balasore","no",,,,,,,
356134,"IN-0340","closed","Bhograi Heliport",21.68382,87.41512,29,"AS","IN","IN-OR","Bhograi","no",,,,,,,
356352,"IN-0341","small_airport","Mohammadabad Airport",27.316258,79.451555,,"AS","IN","IN-UP","Mohammadabad","no",,,,,,,"VAMH"
429737,"IN-0342","small_airport","Marhamtabad Airport",26.58182,79.96797,,"AS","IN","IN-UP","Marhamtabad","no",,,,,,"https://en.wikipedia.org/wiki/Marhamtabad_Airstrip",
429738,"IN-0343","small_airport","Benti Airstrip",25.67292,81.49592,,"AS","IN","IN-UP","Benti","no",,,,,,,
429739,"IN-0344","closed","Naini Airfield",25.32424,81.84179,,"AS","IN","IN-UP","Iradatjanj","no",,,,,,,"Iradatganj"
429740,"IN-0345","small_airport","Andhau Airfield",25.6155,83.56064,,"AS","IN","IN-UP","Biraich","no",,,,,,,
429741,"IN-0346","small_airport","Bihta Air Force Station",25.59124,84.88312,194,"AS","IN","IN-BR","Patna","no","VEBT",,,,,"https://en.wikipedia.org/wiki/Bihta_Air_Force_Station",
429833,"IN-0347","heliport","Gelling Heliport",29.13306,94.97873,,"AS","IN","IN-AR","Gelling","no",,,,,,,
429834,"IN-0348","heliport","Yingkiong Heliport",28.6393,95.0196,,"AS","IN","IN-AR","Yingkiong","no",,,,,,,"Siang Heliport"
429835,"IN-0349","heliport","Jengging Heliport",28.53862,95.06795,,"AS","IN","IN-AR","Jengging","no",,,,,,,
429836,"IN-0350","heliport","Boleng Heliport",28.31533,94.95583,,"AS","IN","IN-AR","Boleng","no",,,,,,,
429837,"IN-0351","heliport","Pangin Heliport",28.20879,95.00239,,"AS","IN","IN-AR","Pangin","no",,,,,,,
429838,"IN-0352","heliport","Duliajan Oil Heliport",27.36617,95.322951,,"AS","IN","IN-AS","Duliajan","no",,,,,,,
429839,"IN-0353","heliport","Deomali Heliport",27.195513,95.467098,,"AS","IN","IN-AS","Deomali","no",,,,,,,
